,simTag,e-e_avg_e-1,e-i_avg_e-1,i-i_avg_e-1,e-e_std_e-1,e-i_std_e-1,i-i_std_e-1,e-e_avg_e29,e-i_avg_e29,i-i_avg_e29,e-e_std_e29,e-i_std_e29,i-i_std_e29
67,sparse080_10class_123_t7,6.57950996835443,6.672562500000001,6.849554736842104,1.5269479744931913,1.485108582943096,1.4083873008566943,16.264358639240506,19.4059889375,21.368942105263162,6.372897546061962,5.575293005084699,4.730066565039104
68,sparse095_10class_123_t7,6.534771063829788,6.513249473684211,6.90907,1.5004343732769394,1.5904745706118288,1.5795472984687735,17.275822217245242,17.56743621052632,18.6221,5.614063712119309,6.205346617534063,6.5377710033313345
69,sparse050_10class_124_t0,12.869028489795918,12.76206048,12.713975265306123,1.802384881576427,1.723857176094983,1.6990629155233077,20.051635673469388,22.16230976,22.928061959183673,4.931140243935893,3.4913008491003383,2.8212868210217943
70,sparse080_10class_124_t0,13.459564715189872,13.464463624999999,13.601132631578947,2.168709321199919,2.189576543932493,2.1632330144067677,20.005548765822788,22.5665796875,23.93838473684211,4.593032976385325,3.639637391050261,2.683925005193677
71,sparse095_10class_124_t0,13.259243180291154,13.106947368421054,12.72742,1.9971627072058291,1.852955332448942,1.1048948337285316,20.178115251959685,20.903736000000002,22.4189,4.116632373661948,4.8399357911126755,4.796581828969459
72,sparse050_10class_125_t1,13.230663755102041,13.324488079999998,13.496301469387753,1.911396997213215,2.0042160786945886,2.092528129316668,20.480053714285713,21.98346724,22.407315102040815,5.379841725767275,3.7771163042208244,3.188789220763524
73,sparse080_10class_125_t1,13.330869018987341,12.956432125,12.544373684210527,2.0580641858968316,1.8106281597088023,1.5123541569849253,20.420790791139243,21.6281248125,22.592532105263153,4.525085696376508,4.325856071771008,4.041824624437099
74,sparse095_10class_125_t1,13.05426606942889,14.075529052631579,14.95591,1.8404887622238373,2.0471146362568455,2.8791312031409753,20.876876237402016,20.008313473684208,18.93939,3.927898912984186,4.256807355895723,4.528328024878498
75,sparse050_10class_126_t2,13.276073387755101,13.225086320000003,13.156284653061226,2.007531901897623,1.923666193961119,1.8332490064144515,20.54315175510204,21.916376120000002,22.445885061224487,5.092151416463858,3.7938372144278603,3.0887241955369213
76,sparse080_10class_126_t2,13.029005,12.9147724375,12.894514736842106,1.9450195582434855,1.9048862327404381,1.8142699420206652,20.18911268987342,22.491151062500002,23.15536052631579,4.699560684411085,2.983433056224636,2.6995817558846014
77,sparse095_10class_126_t2,13.15436777155655,12.96690757894737,13.00863,1.901656556645782,1.553955469979562,1.2022403146209995,20.62178141097424,23.94597157894737,25.70743,4.120028795858694,3.167398499538139,1.6823712503784647
78,sparse050_10class_127_t3,13.275427102040815,13.204543439999997,13.209382122448979,2.0047465796831263,2.031081819204969,2.053712295407749,17.67895730612245,21.12112132,22.350769877551016,4.89327481121666,3.872731828096216,3.206250576865093
79,sparse080_10class_127_t3,13.373210126582277,13.2122420625,12.857273157894738,2.112381794471028,2.040452305727702,1.8410195281177981,20.089733892405064,22.200395375,23.08806105263158,4.7460254209713595,3.1947254157894553,2.4757604155106403
80,sparse095_10class_127_t3,12.993665464725645,12.770000210526316,12.339879999999999,1.8912563946088485,1.7588042665820787,1.4360637303406838,20.895936304591263,21.50380905263158,22.39562,4.539183687720993,3.1735721134894743,2.0726043823170888
81,sparse050_10class_128_t4,13.207330857142857,13.074321920000001,13.004363020408164,2.0149267715085117,1.9434605788457644,1.8513634716762128,20.064119346938774,21.94123504,22.503240326530612,5.080367065368686,3.313453013936398,2.737194540870212
82,sparse080_10class_128_t4,13.087651044303797,13.3085521875,13.594803684210525,1.839453169451863,1.904377391231243,2.0553611552377142,20.646363892405066,21.845551687500002,22.587494736842103,4.630115072705056,3.4886499711506818,2.812274257733257
83,sparse095_10class_128_t4,13.323480044792833,13.364519578947368,12.42281,2.074335006474227,1.628746626728609,0.6774079707975099,20.522651578947368,23.413632421052633,24.77189,4.316110696590785,3.171647227791799,2.7239028350695618
84,sparse050_10class_129_t5,13.069877142857143,13.07675744,13.148476163265308,1.84932483636155,1.9204575783798628,2.011281753136839,18.022551102040815,21.256937479999998,22.206356734693873,4.815895310276551,3.4564736479711877,2.8005391929160224
85,sparse080_10class_129_t5,13.04530924050633,13.287961937499999,13.53444947368421,1.8432015400863353,2.019564040766595,2.325035519768232,20.34182329113924,22.10800825,23.02482421052632,4.479029244537914,3.340466297926374,2.4754552723517045
86,sparse095_10class_129_t5,13.376241298992161,13.655730105263157,12.54414,2.320151328870818,1.8634708164348053,0.7957909979385293,20.616888510638294,21.127500842105263,21.74963,4.21724854437893,3.270816214682639,1.207239459303746
87,sparse050_10class_130_t6,12.667377795918368,12.96697736,13.159999265306123,1.6992965413925292,1.670288802864771,1.816691226025443,17.965881224489795,21.37209136,22.54983689795918,5.349095726281307,3.832033239638371,3.2888710569511215
88,sparse080_10class_130_t6,13.585493512658227,13.774792687500002,13.922105263157896,2.2140981208730306,2.258728693909536,2.2582854508101318,20.248954873417723,21.264553812499997,21.687124210526317,4.734397878852851,3.3229335767113173,2.2877210048529584
89,sparse095_10class_130_t6,13.409545151175813,13.783369894736841,14.32859,2.196584519155964,2.2425157367561406,2.2963639787498846,20.538144613661814,22.63813831578947,24.58921,4.27374805381975,4.142295351045093,3.2850314337765485
90,sparse050_10class_131_t7,13.40722767346939,13.121870919999997,12.803768408163265,2.0640053106148795,1.8744983982490764,1.7079495768228354,20.01063893877551,21.96045164,22.84735836734694,5.221236532775926,3.783003543886433,2.9990137133638237
91,sparse080_10class_131_t7,13.371378955696201,13.4527038125,13.670747894736843,1.9962137560774165,2.157034229437891,2.2934239289464102,20.392140411392408,21.5102038125,22.34640052631579,4.309361732340559,3.9544768051986616,3.625710902974352
92,sparse095_10class_131_t7,13.576213572228445,13.702635157894738,14.35558,2.1821621333903174,2.2114586741371753,2.149622420240355,20.45903518477044,22.450694105263157,24.60152,4.250294423069737,4.571136255409933,3.8241613030310315
93,sparse050_10class_132_t0,16.133380000000002,15.683333439999998,15.256932897959183,2.118179629263904,1.9189735506863472,1.579593865860672,18.95127608163265,21.625992,22.570567755102044,4.717912763632698,3.7055577100091157,3.21008296503076
94,sparse080_10class_132_t0,15.709094556962025,15.422262875000001,15.212031052631579,1.9534750104091831,1.7342434828108002,1.3818556954266614,20.54260167721519,22.4623551875,23.479783684210528,3.9353220087120593,3.3573572844833017,2.5292390834309924
95,sparse095_10class_132_t0,16.03201908174692,15.465579789473685,14.666820000000001,2.1787096087623468,1.5481402109940812,0.8571837711949524,21.162623762597985,21.16726652631579,21.42109,3.8268532113494835,3.271401525867458,2.777924820958983
96,sparse050_10class_133_t1,15.600827836734695,15.635425320000001,15.69680236734694,1.651118534466187,1.9072506282381707,2.053093897405022,22.92091518367347,24.431737200000004,24.325355020408164,2.7193775792922197,2.284741356808722,2.564903595672789
97,sparse080_10class_133_t1,15.99421905063291,15.933465000000002,15.855833157894736,2.0443097542992716,2.117690314729706,2.0862507889325306,20.83482329113924,22.363240125,23.062328421052634,4.396939250904816,3.360336701392806,2.4767942078489984
98,sparse095_10class_133_t1,15.983742777155655,15.90302694736842,16.31239,2.194539737645497,1.9702283845254156,1.5495696308652929,20.952492810750282,22.691145684210525,23.558230000000002,4.0293478954676765,2.3572498882690676,1.369220760907459
99,sparse050_10class_134_t2,15.872745142857145,16.1006946,16.378621877551023,1.8728040915780566,2.039369356178238,2.214645346934105,23.444723836734696,25.188652,24.75745918367347,2.9934193655054133,2.424465109399597,3.278962023166899
100,sparse080_10class_134_t2,15.664411803797467,16.053685125,16.39848631578947,1.7227131702076446,2.0771447914694665,2.213618597567556,20.70279411392405,22.871249312499998,23.698877368421055,4.441688920494812,3.07710255654561,2.2940090685048626
101,sparse095_10class_134_t2,15.746845531914893,15.644638947368422,15.10144,1.946520429958256,1.7135323040399226,1.0025471931036467,21.13043659574468,22.636950105263157,24.52448,3.764128574249947,4.576491873515414,4.101087105341705
102,sparse050_10class_135_t3,15.642106530612246,15.693421559999999,15.75151812244898,1.605675833151111,1.7900231931869393,1.9844806164360367,23.702606775510205,25.01823324,25.05879355102041,2.7569822409639904,2.454369957976813,2.6275995683278643
103,sparse080_10class_135_t3,15.628572499999999,15.8339440625,16.033109473684213,1.8796433345774934,1.9905243030266542,1.960453588388677,20.878916392405067,22.3723266875,23.296362631578948,4.023532638954392,3.2449117726633228,2.430640460308314
104,sparse095_10class_135_t3,15.956396752519598,15.211180631578948,14.003540000000001,2.0287689390964494,1.6372792810679364,0.5812290446975272,20.906835655095186,21.964617473684207,22.65072,4.020871555042067,3.071448268500321,1.262226656191351
105,sparse050_10class_136_t4,15.77783093877551,15.878125039999999,15.94283493877551,1.876370888148655,1.9007235093903054,1.9762257130040755,23.054609714285714,25.25478088,24.695567020408166,2.9079002440507704,2.309210140612245,3.001370994797942
106,sparse080_10class_136_t4,15.964021455696201,16.059241125,16.127922105263156,2.008305523253254,2.0486579773619447,1.9807278575087888,21.20152825949367,21.8574596875,22.241742105263157,4.23923956853346,3.3275340685211106,2.4626133421131025
107,sparse095_10class_136_t4,15.78576967525196,15.474344842105262,14.829710000000002,2.0801722117439074,1.6802155133665464,0.6714254723347929,20.797970279955205,22.686548421052635,24.21305,3.821992862202814,3.546789725456356,3.472293818860956
108,sparse050_10class_137_t5,15.955383918367348,15.82478828,15.780697795918368,2.133944849952627,2.0110428618710845,1.856677565119919,19.916563102040815,22.7580468,23.04383755102041,4.125741064029857,3.033763965479477,2.9570714468993593
109,sparse080_10class_137_t5,15.845314335443037,15.970675437499999,16.26626736842105,2.083101096419772,2.0861661057135246,2.0624657741819674,20.81831275316456,21.800043125000002,22.56968894736842,3.8970720434728605,3.5335107089165207,3.2269313775480497
