,e-e_avg,e-i_avg,i-i_avg,e-e_std,e-i_std,i-i_std,simTag,epoch
717,51.4784618044127,87.97878224608948,83.78763978177777,21.99403213545576,16.01480496375147,14.97237114634688,SHD_095_186,199
718,49.3230750665096,95.16951333684736,88.76536312488889,19.31044499697885,16.27466914696065,12.8059237382432,SHD_095_187,199
719,38.83991758313784,35.15419810344737,30.012283399777782,13.66860311641787,13.10338378870547,11.651368247191728,SHD_095_188,-1
720,37.65931781282038,33.814944550121055,29.469006862888882,13.642134425159023,12.2924398150228,9.006166029818104,SHD_095_188,199
721,35.93043919339236,34.05177021418421,29.68447042066667,13.58365176377076,12.559537480032027,8.292578041265738,SHD_095_189,-1
722,36.19995968882484,37.73572546084737,34.005480768,13.342645148153636,13.322657821237001,10.076571790120688,SHD_095_189,199
723,35.06822114149039,36.26438102985263,38.31146995155556,12.655218175556405,12.281436563277374,13.373216551008184,SHD_095_190,-1
724,34.69746326667056,35.997770726447364,38.72539607844445,13.474688731005012,13.449920871165775,14.116853711966307,SHD_095_190,199
725,33.77264630131829,32.8082229341579,33.6111519628889,12.34144866674018,12.584043347257495,12.951280432249279,SHD_095_191,-1
726,47.113318372577,46.46463438266842,38.10258844533334,15.677502375757243,12.452766085141702,12.960061447268387,SHD_095_191,199
727,32.67550641217878,32.42838126523157,33.516579990444434,13.429586130505045,13.144334832421888,12.374863404501596,SHD_095_192,-1
728,38.22803742254804,54.055159406168414,46.49229710000001,12.69892745957559,13.359308825175724,16.33610157364358,SHD_095_192,199
729,38.90983519943024,41.67171162657895,45.41321933666667,13.784308798639902,13.65391563040923,14.774636143651367,SHD_095_193,-1
730,44.96368748938624,48.11380031066316,51.34673404844444,15.484514458637268,14.59760969087262,14.979301245918546,SHD_095_193,199
731,38.80822053619661,41.7871412656,42.860918770666665,14.235211583544805,15.816464434853202,16.09434260317371,SHD_095_194,-1
732,38.18711216890838,42.05568381768948,41.551781326666664,12.39281494286047,13.594319825690286,12.254125118057159,SHD_095_194,199
733,39.379452202046785,37.83601076218421,37.404056769777775,14.112980929449298,13.017959087666176,11.077262047985677,SHD_095_195,199
734,38.72832200699415,42.32416692326843,46.096305596666674,13.584902199863388,13.767193891402094,13.115939970932567,SHD_095_196,-1
735,40.64017966211361,47.788005414047376,46.475731438666664,14.59117147849976,15.786740750718318,18.16656648314404,SHD_095_196,199
736,39.070563450529654,39.648814841157886,41.01949717088889,12.167206039264196,14.249338351008848,16.027882296566144,SHD_095_197,-1
737,30.841745554192144,31.893259051742103,32.73866492911111,10.867105289819396,12.210212653509018,13.660692440308702,SHD_095_197,199
738,42.545510328431085,42.11074882626841,42.47861155644445,13.700105076544942,12.200378487326654,9.820346603251997,SHD_095_198,-1
739,40.51159328759398,41.91925154922105,38.92558535444444,13.071341875619943,12.425066196009617,9.574967647601381,SHD_095_198,199
740,30.200872837669735,31.779358936626316,33.54805475911111,11.954679517568698,12.390744807623237,10.6288466782667,SHD_095_199,-1
741,38.992537356813145,39.28634091455263,38.739592325333334,12.809214280218669,13.40436222940538,12.838870246987709,SHD_095_199,199
742,33.73237091678753,37.84999607668948,41.70085396888889,11.465493539522559,11.334983093856227,10.977917276811528,SHD_095_200,-1
743,34.30563955941465,35.6652113346158,38.505950997111114,11.95624530156046,11.909750401543628,11.184703910538213,SHD_095_200,199
744,40.84096276909328,40.89188659081052,42.73207771022222,12.119974851757178,12.233700892847825,12.068213441835066,SHD_095_201,-1
745,36.10006528110443,37.561385807810524,38.567102292444446,11.014870251731898,11.070056904204568,11.210291753631616,SHD_095_201,199
746,38.41737754435645,38.21176833144211,39.53576337777778,13.245436527517846,12.806398882648494,12.543402115601609,SHD_095_202,-1
747,36.25478172078641,37.44243306302631,39.709079263999996,12.859628139615635,12.742295655642597,11.546276762433457,SHD_095_202,199
748,33.25407297196158,32.79224735384737,32.174170644444445,13.596554883261154,14.145052798263979,16.989624539106245,SHD_095_203,199
749,35.52047978811195,33.885950439236844,34.05549454133334,12.672753768866416,11.67954411259068,10.579856640672386,SHD_095_204,-1
750,37.03872254103592,34.33389160066316,32.368017002,13.330008896434435,12.8958438477361,12.152423610897042,SHD_095_204,199
751,36.08946360326984,36.05085009965263,36.54228455511112,12.424998295219835,11.899370305242101,11.065821095347168,SHD_095_205,-1
752,39.16849514308661,48.20961602350527,44.134824824888895,12.444744749199309,14.475393807869803,14.06408532460534,SHD_095_205,199
753,40.470257836342526,37.22673072296842,30.500839235777775,13.790042319018223,13.122620283781853,10.106480820110969,SHD_095_206,-1
754,35.490385773058755,34.04534362928421,30.893405905333335,12.70027925460278,12.676382249350674,12.71097051172089,SHD_095_206,199
755,29.23435238388805,30.453231382852632,32.511235700444445,10.242803749702952,11.611048154492932,12.063105329330257,SHD_095_207,-1
756,35.45778001401727,38.2865930489421,36.999728654,11.19518437076812,11.52915524661874,11.37687963905575,SHD_095_207,199
757,36.47956004770371,35.05516776051053,33.79488979933333,12.135876118498503,10.241767756856266,9.167200499667628,SHD_095_208,-1
758,37.6870469255071,35.65280322532632,34.13065542355556,12.086646190130827,11.100072041483703,9.523647268251779,SHD_095_208,199
759,35.93530239991925,34.8174852448579,34.22269817822222,12.670580755212026,11.738675602962985,11.862300304977216,SHD_095_209,-1
760,38.339506194544136,40.780746016947376,39.063655387555556,12.065825913852008,11.684618274366503,12.989941583716513,SHD_095_209,199
761,41.115761506334174,40.11785163094737,39.35896101266667,12.945763760149621,11.719689430484163,10.161068929174379,SHD_095_210,-1
762,31.126385430072958,28.74530341360526,26.16282899,12.228432131698913,11.32551800773946,10.556636957791325,SHD_095_210,199
763,36.05617411048399,31.723400897284208,26.809324077777777,12.64438938772883,11.185604753865078,7.768489422111089,SHD_095_211,199
764,32.178405152667224,30.614042594736844,29.225880867333334,12.171073801070309,11.305340995705759,10.309037779307273,SHD_095_212,-1
765,42.859184064919525,41.63062106388421,40.66508030888889,12.68302760440735,12.370139750796008,12.204199199194404,SHD_095_212,199
766,33.776222370967986,32.8564986012,33.07898432444445,12.038668291718444,11.045970249420762,9.683450918691474,SHD_095_213,-1
767,33.39987161478418,32.07627605803684,31.70088328422223,11.730156456391786,10.73770017753635,8.533205736389212,SHD_095_213,199
768,42.31358131349151,42.896076244615784,45.758863377555556,13.819234360122865,14.262112198795347,14.399757275571698,SHD_095_214,-1
769,34.38467894600445,36.395387251542104,39.293573696,11.289795342260447,11.773985549436315,13.286202466324148,SHD_095_214,199
770,31.192205330217213,32.824621910957894,36.511418776222214,11.502932896569833,12.10300609629023,11.81843080847255,SHD_095_215,-1
771,37.58240393506488,38.90806651621579,42.45595360977778,11.633967625644217,12.259870131915505,12.154752480438713,SHD_095_215,199
772,34.75135467807185,36.173242998947366,38.57252298733333,12.391593050980335,13.218862501895645,12.329681454403834,SHD_095_216,-1
773,35.330783361208574,35.23406382816842,35.03901283355555,12.721240070609806,13.051348029283334,12.340217799346494,SHD_095_216,199
774,39.90655091230577,38.09165003288421,36.880642212,11.662137829282885,11.476575574026464,10.60484614711643,SHD_095_217,-1
775,40.72070851428961,38.871272847768424,36.54338993266667,14.055773641513738,12.479080025084846,11.623482407994354,SHD_095_217,199
776,25.99810644705709,28.907693943736845,30.234946247555563,10.543037699146721,11.933183746230915,12.641536021686798,SHD_095_218,-1
777,41.205940373116675,43.27752410170527,44.965969929555555,13.637255105046245,14.158758575995089,14.644403330119394,SHD_095_218,199
778,29.14195036825731,27.419753244594737,26.719512198,11.51680123809923,10.662012001750945,8.789455948590687,SHD_095_219,199
779,30.599843438988582,31.001834666978947,31.816725131333325,10.393750772155126,11.57950482041618,12.56548638649606,SHD_095_220,-1
780,38.83513973315009,39.58319510520526,41.42899851888888,12.068272393046087,12.701294815627675,13.797219734838093,SHD_095_220,199
781,33.12866522492063,33.64435401142105,33.79632807955555,10.683786901267641,11.164481168821093,13.516714875787118,SHD_095_221,-1
782,35.60401029305653,45.732188340873684,39.62098155777778,12.826928709243983,13.696347626408517,14.245661328815189,SHD_095_221,199
783,34.846758457465334,32.93649295571053,31.007676194888898,11.162757170208296,10.897397368968335,10.466496164423823,SHD_095_222,-1
784,42.38634481295962,40.85840084142632,39.754655090888896,11.688130423536245,11.017793151996354,10.15904440150833,SHD_095_222,199
785,38.01828218512448,37.70824142739999,36.706757161333336,12.657462840431112,12.82529216152785,16.278700060775044,SHD_095_227,199
786,35.099472407348365,35.627832244773685,34.652528788666665,11.099775640101518,11.048564840812508,10.837077824140282,SHD_095_228,-1
787,37.87452599050237,38.3187195614579,38.48315185777778,12.258127450253276,12.611736725792136,12.764804571724444,SHD_095_228,199
788,33.63856441712782,32.924230463184216,30.148703426666675,11.250812698556008,11.29961457569635,7.83467622187288,SHD_095_229,-1
789,44.28273526860875,44.46660694828948,40.83093227866666,12.686152630300578,12.417967627129677,10.250248109245849,SHD_095_229,199
790,34.50106018368143,32.473765178457896,31.32243461222222,11.927623240464536,11.524019556951002,8.954368447048438,SHD_095_230,-1
791,34.873707303299916,33.50289549326316,32.70634083377777,11.734825194636155,10.937472846000718,9.390799678667692,SHD_095_230,199
792,32.888365248652185,35.35974280221579,34.041078179555555,12.239623167842542,12.730974736877789,11.34911138287189,SHD_095_231,-1
793,30.109086627137287,29.115789582552633,26.997823564000004,11.137492600484446,11.068001599366829,9.277480594343752,SHD_095_231,199
794,34.54293693217043,32.30736795327895,29.684527054000004,10.444114573799343,9.03237817325496,6.947188647955031,SHD_095_232,-1
